"Code";"Waarde";"DatumVanaf";"DatumTot"
"215";"Didam";"2000-01-01";
"216";"Diemen";"2000-01-01";
"217";"Diepenheim";"2000-01-01";
"218";"Diepenveen";"2000-01-01";
"219";"Dieren";"2000-01-01";
"220";"Diessen";"2000-01-01";
"221";"Diever";"2000-01-01";
"222";"Dinteloord";"2000-01-01";
"223";"Dinxperlo";"2000-01-01";
"224";"Dirksland";"2000-01-01";
"225";"Dodewaard";"2000-01-01";
"226";"Doesburg";"2000-01-01";
"227";"Dokkum";"2000-01-01";
"228";"Domburg";"2000-01-01";
"229";"Dommelen";"2000-01-01";"2009-01-01"
"230";"Dongen";"2000-01-01";
"231";"Donkerbroek";"2000-01-01";
"232";"Doorn";"2000-01-01";
"233";"Doornenburg";"2000-01-01";
"234";"Doornspijk";"2000-01-01";
"235";"Doorwerth";"2000-01-01";
"236";"Dordrecht";"2000-01-01";
"237";"Drachten";"2000-01-01";
"238";"Drechterland";"2000-01-01";
"239";"Dreumel";"2000-01-01";
"240";"Driebergen-Rijsenburg";"2000-01-01";
"241";"Driel";"2000-01-01";
"242";"Drogeham";"2000-01-01";
"243";"Dronrijp";"2000-01-01";
"244";"Dronten";"2000-01-01";
"245";"Drunen";"2000-01-01";
"246";"Druten";"2000-01-01";
"247";"Dubbeldam";"2000-01-01";
"248";"Duiveland";"2000-01-01";
"249";"Duiven";"2000-01-01";
"250";"Duizel";"2000-01-01";"2009-01-01"
"251";"Dussen";"2000-01-01";
"252";"Duurswoude";"2000-01-01";
"253";"Dwingeloo";"2000-01-01";
"254";"Echt";"2000-01-01";
"255";"Echteld";"2000-01-01";
"256";"Eck en Wiel";"2000-01-01";
"257";"Edam";"2000-01-01";
"258";"Ede";"2000-01-01";
"259";"Ee";"2000-01-01";
"260";"Eelde";"2000-01-01";
"261";"Eemnes";"2000-01-01";
"262";"Eenrum";"2000-01-01";
"263";"Eersel";"2000-01-01";
"264";"Egmond aan Zee";"2000-01-01";
"265";"Egmond-Binnen";"2000-01-01";
"266";"Eibergen";"2000-01-01";
"267";"Eijsden";"2000-01-01";
"268";"Eindhoven";"2000-01-01";
"269";"Elburg";"2000-01-01";
"270";"Elsloo";"2000-01-01";
"271";"Elst";"2000-01-01";
"272";"Emmen";"2000-01-01";
"273";"Empel";"2000-01-01";"2009-01-01"
"274";"Enkhuizen";"2000-01-01";
"275";"Enschede";"2000-01-01";
"276";"Epe en Oene";"2000-01-01";
"277";"Ermelo";"2000-01-01";
"278";"Erp";"2000-01-01";
"279";"Esch";"2000-01-01";
"280";"Est en Opijnen";"2000-01-01";
"281";"Etten";"2000-01-01";"2009-01-01"
"282";"Etten-Leur";"2000-01-01";
"283";"Everdingen";"2000-01-01";
"284";"Ewijk";"2000-01-01";
"285";"Eygelshoven";"2000-01-01";"2009-01-01"
"286";"Ezinge";"2000-01-01";
"287";"Ferwerd";"2000-01-01";
"288";"Fijnaart";"2000-01-01";
"289";"Finsterwolde";"2000-01-01";
"290";"Franeker";"2000-01-01";
"291";"Gaast";"2000-01-01";
"292";"Gameren";"2000-01-01";
"293";"Garderen";"2000-01-01";
"294";"Gassel";"2000-01-01";"2009-01-01"
"295";"Gasselte";"2000-01-01";
"296";"Geertruidenberg";"2000-01-01";
"297";"Geervliet";"2000-01-01";
"298";"Geesteren";"2000-01-01";
"299";"Geffen";"2000-01-01";
"300";"Geldermalsen";"2000-01-01";
"301";"Geldrop";"2000-01-01";
"302";"Geleen";"2000-01-01";
"303";"Gemert";"2000-01-01";
"304";"Gendringen";"2000-01-01";
"305";"Gendt";"2000-01-01";
"306";"Genemuiden";"2000-01-01";
"307";"Gennep";"2000-01-01";
"308";"Gestel";"2000-01-01";
"309";"Geulle";"2000-01-01";
"310";"Giekerk";"2000-01-01";
"311";"Giessenburg";"2000-01-01";
"312";"Gieten";"2000-01-01";
"313";"Giethoorn";"2000-01-01";
"314";"Gilze en Rijen";"2000-01-01";
"315";"Ginneken";"2000-01-01";
"316";"Goedereede";"2000-01-01";
"317";"Goes";"2000-01-01";
"318";"Goirle";"2000-01-01";
"319";"Goor";"2000-01-01";
"320";"Gorinchem";"2000-01-01";
"321";"Gorredijk";"2000-01-01";
"322";"Gorssel";"2000-01-01";
"323";"Gouda";"2000-01-01";
"324";"Gouderak";"2000-01-01";
"325";"Goudriaan";"2000-01-01";
"326";"Goudswaard";"2000-01-01";
"327";"Graauw";"2000-01-01";"2009-01-01"
"328";"Grafhorst";"2000-01-01";"2009-01-01"
"329";"Graft";"2000-01-01";"2009-01-01"
"330";"Graft-de Rijp";"2000-01-01";
"331";"Gramsbergen";"2000-01-01";
"332";"Grathem";"2000-01-01";
"333";"Grave";"2000-01-01";
"334";"Grevenbicht";"2000-01-01";
"335";"Grijpskerk";"2000-01-01";
"336";"Groenlo";"2000-01-01";
"337";"Groesbeek";"2000-01-01";
"338";"Groessen en Loo";"2000-01-01";
"339";"Groningen";"2000-01-01";
"340";"Gronsveld";"2000-01-01";
"341";"Groot-Ammers";"2000-01-01";
"342";"Grootebroek";"2000-01-01";"2009-01-01"
"343";"Grootegast";"2000-01-01";
"344";"Grouw";"2000-01-01";
"345";"Grubbenvorst";"2000-01-01";
"346";"Gulpen";"2000-01-01";
"347";"Haaften";"2000-01-01";
"348";"Haaksbergen";"2000-01-01";
"349";"Haaren";"2000-01-01";
"350";"Haarlem";"2000-01-01";
"351";"Haarlemmerliede en Spaarnwoude";"2000-01-01";
"352";"Haarlemmermeer";"2000-01-01";
"353";"Haastrecht";"2000-01-01";
"354";"Haelen";"2000-01-01";
"355";"Hagestein";"2000-01-01";
"356";"Hall";"2000-01-01";
"357";"Hallum";"2000-01-01";
"358";"Halsteren";"2000-01-01";
"359";"Haps";"2000-01-01";"2009-01-01"
"360";"Hardegarijp";"2000-01-01";
"361";"Harderwijk";"2000-01-01";
"362";"Hardinxveld-Giessendam";"2000-01-01";
"363";"Haren";"2000-01-01";
"364";"Harenkarspel";"2000-01-01";
"365";"Harkstede";"2000-01-01";"2009-01-01"
"366";"Harlingen";"2000-01-01";
"367";"Harmelen";"2000-01-01";
"368";"Hasselt";"2000-01-01";
"369";"Hatert";"2000-01-01";
"370";"Hattem";"2000-01-01";
"371";"Havelte";"2000-01-01";
"372";"Hazerswoude";"2000-01-01";
"373";"Hedel";"2000-01-01";
"374";"Heeg";"2000-01-01";
"375";"Heel en Panheel";"2000-01-01";
"376";"Heemskerk";"2000-01-01";
"377";"Heemstede";"2000-01-01";
"378";"Heenvliet";"2000-01-01";
"379";"Heer";"2000-01-01";
"380";"Heerde";"2000-01-01";
"381";"Heerenveen";"2000-01-01";
"382";"Heerewaarden";"2000-01-01";
"383";"Heerhugowaard";"2000-01-01";
"384";"Heerjansdam";"2000-01-01";
"385";"Heerlen";"2000-01-01";
"386";"Heesch";"2000-01-01";
"387";"Heeswijk-Dinther";"2000-01-01";
"388";"Heeze";"2000-01-01";
"389";"Hei- en Boeicop";"2000-01-01";
"390";"Heiloo";"2000-01-01";
"391";"Heinenoord";"2000-01-01";
"392";"Heino";"2000-01-01";
"393";"Hekendorp";"2000-01-01";
"394";"Helden";"2000-01-01";
"395";"Hellendoorn";"2000-01-01";
"396";"Hellevoetsluis";"2000-01-01";
"397";"Helmond";"2000-01-01";
"398";"Helpman";"2000-01-01";
"399";"Helvoirt";"2000-01-01";
"400";"Hendrik-Ido-Ambacht";"2000-01-01";
"401";"Hengelo Gelderland";"2000-01-01";
"402";"Hengelo Overijssel";"2000-01-01";
"403";"Herkingen";"2000-01-01";
"404";"Hernen";"2000-01-01";"2009-01-01"
"405";"Herten";"2000-01-01";
"406";"Herwen";"2000-01-01";
"407";"Herwijnen";"2000-01-01";
"408";"Heteren";"2000-01-01";
"409";"Heukelum";"2000-01-01";
"410";"Heumen";"2000-01-01";
"411";"Heusden";"2000-01-01";
"412";"Heythuysen";"2000-01-01";
"413";"Hien";"2000-01-01";
"414";"Hijum";"2000-01-01";
"415";"Hillegersberg";"2000-01-01";
"416";"Hillegom";"2000-01-01";
"417";"Hilvarenbeek";"2000-01-01";
"418";"Hilversum";"2000-01-01";
"419";"Hindeloopen";"2000-01-01";
"420";"Hoek";"2000-01-01";
"421";"Hoek van Holland";"2000-01-01";
"422";"Hoensbroek";"2000-01-01";
"423";"Hoevelaken";"2000-01-01";
"424";"Hoeven";"2000-01-01";
"425";"Holten";"2000-01-01";
"426";"Holwerd";"2000-01-01";
"427";"Hontenisse";"2000-01-01";
"428";"Hoog Soeren";"2000-01-01";
"429";"Hoogblokland";"2000-01-01";
"430";"Hooge en Lage Mierde";"2000-01-01";
"431";"Hooge en Lage Zwaluwe";"2000-01-01";
"432";"Hoogeloon";"2000-01-01";
"433";"Hoogeveen";"2000-01-01";
"434";"Hoogezand";"2000-01-01";
"435";"Hoogkarspel";"2000-01-01";"2009-01-01"
"436";"Hoogkerk";"2000-01-01";
"437";"Hoogland";"2000-01-01";
"438";"Hoogvliet";"2000-01-01";
"439";"Hoorn";"2000-01-01";
"440";"Hoornaar";"2000-01-01";
"441";"Horn";"2000-01-01";
"442";"Horssen";"2000-01-01";
"443";"Horst";"2000-01-01";
"444";"Houten";"2000-01-01";
"445";"Houthem";"2000-01-01";
"446";"Huijbergen";"2000-01-01";
"447";"Huissen";"2000-01-01";
"448";"Huizen";"2000-01-01";
"449";"Huizum";"2000-01-01";
"450";"Hulsberg";"2000-01-01";
"451";"Hulst";"2000-01-01";
"452";"Hummelo";"2000-01-01";
"453";"Hunsel";"2000-01-01";
"454";"IJlst";"2000-01-01";
"455";"IJmuiden";"2000-01-01";
"456";"IJsselham";"2000-01-01";
"457";"IJsselmeer";"2000-01-01";"2009-01-01"
"458";"IJsselmeer-west";"2000-01-01";"2009-01-01"
"459";"IJsselmonde";"2000-01-01";
"460";"IJsselmuiden";"2000-01-01";
"461";"IJsselstein";"2000-01-01";
"462";"Ilpendam";"2000-01-01";"2009-01-01"
"463";"Ingen";"2000-01-01";
"464";"Itteren";"2000-01-01";
"465";"Ittervoort";"2000-01-01";
"466";"Jaarsveld";"2000-01-01";
"467";"Jabeek";"2000-01-01";
"468";"Jelsum";"2000-01-01";
"469";"Jisp";"2000-01-01";
"470";"Jorwerd";"2000-01-01";
"471";"Joure";"2000-01-01";
"472";"Jutphaas";"2000-01-01";
"473";"Kamerik";"2000-01-01";
"474";"Kampen";"2000-01-01";
"475";"Kantens";"2000-01-01";
"476";"Kapelle";"2000-01-01";
"477";"Kattendijke";"2000-01-01";"2009-01-01"
"478";"Katwijk";"2000-01-01";
"479";"Katwoude";"2000-01-01";
"480";"Kedichem";"2000-01-01";
"481";"Keppel";"2000-01-01";
"482";"Kerkrade";"2000-01-01";
"483";"Kerkwijk";"2000-01-01";
"484";"Kessel";"2000-01-01";
"485";"Kesteren";"2000-01-01";
"486";"Klaaswaal";"2000-01-01";
"487";"Klimmen";"2000-01-01";
"488";"Kloetinge";"2000-01-01";
"489";"Kloosterburen";"2000-01-01";
"490";"Klundert";"2000-01-01";
"491";"Knijpe";"2000-01-01";
"492";"Kockengen";"2000-01-01";
"493";"Kollum";"2000-01-01";
"494";"Koog aan de Zaan";"2000-01-01";
"495";"Kooten";"2000-01-01";
"496";"Kortenhoef";"2000-01-01";
"497";"Kortgene";"2000-01-01";
"498";"Koudekerk aan den Rijn";"2000-01-01";
"499";"Koudum";"2000-01-01";
"500";"Krabbendijke";"2000-01-01";
"501";"Kralingen";"2000-01-01";
"502";"Krimpen aan de Lek";"2000-01-01";
"503";"Krimpen aan den IJssel";"2000-01-01";
"504";"Kring van Dorth";"2000-01-01";
"505";"Krommenie";"2000-01-01";
"506";"Kruiningen";"2000-01-01";
"507";"Kuinre";"2000-01-01";
"508";"Kwadijk";"2000-01-01";
"509";"Laag Nieuwkoop";"2000-01-01";"2009-01-01"
"510";"Landgraaf";"2000-01-01";
"511";"Landsmeer";"2000-01-01";
"512";"Langbroek";"2000-01-01";
"513";"Lange Ruige Weide";"2000-01-01";
"514";"Langedijk";"2000-01-01";
"515";"Langerak";"2000-01-01";
"516";"Langezwaag";"2000-01-01";
"517";"Langweer";"2000-01-01";
"518";"Laren";"2000-01-01";
"519";"Laren Gelderland";"2000-01-01";
"520";"Laren-Verwolde";"2000-01-01";
"521";"Lauwerecht";"2000-01-01";
"522";"Leek";"2000-01-01";
"523";"Leende";"2000-01-01";
"524";"Leens";"2000-01-01";
"525";"Leerbroek";"2000-01-01";
"526";"Leerdam";"2000-01-01";
"527";"Leersum";"2000-01-01";
"528";"Leeuwarden";"2000-01-01";
"529";"Leeuwen";"2000-01-01";
"530";"Leiden";"2000-01-01";
"531";"Leiderdorp";"2000-01-01";
"532";"Leimuiden";"2000-01-01";
"533";"Lekkerkerk";"2000-01-01";
"534";"Lelystad";"2000-01-01";
"535";"Lemmer";"2000-01-01";
"536";"Lent";"2000-01-01";
"537";"Leusden";"2000-01-01";
"538";"Leuth";"2000-01-01";
"539";"Lexmond";"2000-01-01";
"540";"Lichtenvoorde";"2000-01-01";
"541";"Liempde";"2000-01-01";
"542";"Lienden";"2000-01-01";
"543";"Lierop";"2000-01-01";"2009-01-01"
"544";"Lieshout";"2000-01-01";
"545";"Lieve Vrouwe Parochie";"2000-01-01";
"546";"Limbricht";"2000-01-01";
"547";"Limmen";"2000-01-01";
"548";"Linne";"2000-01-01";
"549";"Linschoten";"2000-01-01";
"550";"Lippenhuizen";"2000-01-01";
"551";"Lisse";"2000-01-01";
"552";"Lith";"2000-01-01";
"553";"Lithoijen";"2000-01-01";
"554";"Lobith en Spijk";"2000-01-01";
"555";"Lochem";"2000-01-01";
"556";"Loenen";"2000-01-01";
"557";"Loenersloot";"2000-01-01";"2009-01-01"
"558";"Lonneker";"2000-01-01";
"559";"Loon op Zand";"2000-01-01";
"560";"Loosdrecht";"2000-01-01";
"561";"Loosduinen";"2000-01-01";
"562";"Lopik";"2000-01-01";
"563";"Loppersum";"2000-01-01";
"564";"Losser";"2000-01-01";
"565";"Lunteren";"2000-01-01";
"566";"Luyksgestel";"2000-01-01";
"567";"Maarheeze";"2000-01-01";
"568";"Maarn";"2000-01-01";
"569";"Maarsseveen";"2000-01-01";
"570";"Maarssen";"2000-01-01";
"571";"Maartensdijk";"2000-01-01";
"572";"Maasbommel";"2000-01-01";
"573";"Maasbracht";"2000-01-01";
"574";"Maasbree";"2000-01-01";
"575";"Maasdam";"2000-01-01";
"576";"Maasdriel";"2000-01-01";
"577";"Maashees";"2000-01-01";"2009-01-01"
"578";"Maasland";"2000-01-01";
"579";"Maasniel";"2000-01-01";
"580";"Maassluis";"2000-01-01";
"581";"Maastricht";"2000-01-01";
"582";"Made en Drimmelen";"2000-01-01";
"583";"Makkinga";"2000-01-01";
"584";"Makkum";"2000-01-01";
"585";"Margraten";"2000-01-01";
"586";"Mariekerke";"2000-01-01";
"587";"Markelo";"2000-01-01";
"588";"Marken";"2000-01-01";
"589";"Markermeer";"2000-01-01";"2009-01-01"
"590";"Marrum";"2000-01-01";
"591";"Marum";"2000-01-01";
"592";"Maurik";"2000-01-01";
"593";"Medemblik";"2000-01-01";
"594";"Meeden";"2000-01-01";
"595";"Meerkerk";"2000-01-01";
"596";"Meerlo";"2000-01-01";
"597";"Meerssen";"2000-01-01";
"598";"Megen";"2000-01-01";
"599";"Meijel";"2000-01-01";
"600";"Melick en Herkenbosch";"2000-01-01";
"601";"Melissant";"2000-01-01";
"602";"Meppel";"2000-01-01";
"603";"Merkelbeek";"2000-01-01";
"604";"Mesch";"2000-01-01";
"605";"Mheer";"2000-01-01";
"606";"Middelburg";"2000-01-01";
"607";"Middelharnis";"2000-01-01";
"608";"Middelie";"2000-01-01";
"609";"Middelstum";"2000-01-01";
"610";"Middenschouwen";"2000-01-01";
"611";"Midwolda";"2000-01-01";
"612";"Midwoud";"2000-01-01";"2009-01-01"
"613";"Mierlo";"2000-01-01";
"614";"Mijdrecht";"2000-01-01";
"615";"Mijnsheerenland";"2000-01-01";
"616";"Mildam";"2000-01-01";
"617";"Mill";"2000-01-01";
"618";"Millingen";"2000-01-01";
"619";"Minnertsga";"2000-01-01";
"620";"Moergestel";"2000-01-01";
"621";"Moerkapelle";"2000-01-01";
"622";"Molenaarsgraaf";"2000-01-01";
"623";"Monnickendam";"2000-01-01";
"624";"Monster";"2000-01-01";
"625";"Montfoort";"2000-01-01";
"626";"Montfort";"2000-01-01";
"627";"Mook en Middelaar";"2000-01-01";
"628";"Moordrecht";"2000-01-01";
"629";"Muiden";"2000-01-01";
"630";"Munstergeleen";"2000-01-01";
"631";"Muntendam";"2000-01-01";
"632";"Naaldwijk";"2000-01-01";
"633";"Naarden";"2000-01-01";
"634";"Nederasselt";"2000-01-01";
"635";"Nederhemert";"2000-01-01";
"636";"Nederhorst den Berg";"2000-01-01";
"637";"Nederweert";"2000-01-01";
"638";"Neede";"2000-01-01";
"639";"Neer";"2000-01-01";
"640";"Neerbosch";"2000-01-01";
"641";"Neeritter";"2000-01-01";
"642";"Nes";"2000-01-01";
"643";"Netwerken Alkmaar";"2000-01-01";"2012-01-01"
"644";"Netwerken Amsterdam";"2000-01-01";"2012-01-01"
"645";"Netwerken Arnhem";"2000-01-01";"2012-01-01"
"646";"Netwerken Assen";"2000-01-01";"2012-01-01"
"647";"Netwerken Breda";"2000-01-01";"2012-01-01"
"648";"Netwerken Eindhoven";"2000-01-01";"2012-01-01"
"649";"Netwerken Groningen";"2000-01-01";"2012-01-01"
"650";"Netwerken Leeuwarden";"2000-01-01";"2012-01-01"
"651";"Netwerken Lelystad";"2000-01-01";"2012-01-01"
"652";"Netwerken Middelburg";"2000-01-01";"2012-01-01"
"653";"Netwerken Roermond";"2000-01-01";"2012-01-01"
"654";"Netwerken Rotterdam";"2000-01-01";"2012-01-01"
"655";"Netwerken Utrecht";"2000-01-01";
"656";"Netwerken Zoetermeer";"2000-01-01";"2012-01-01"
"657";"Netwerken Zwolle";"2000-01-01";"2012-01-01"
"658";"Nibbixwoud";"2000-01-01";"2009-01-01"
"659";"Niedorp";"2000-01-01";
"660";"Nieuw-Beijerland";"2000-01-01";
"661";"Nieuwe Pekela";"2000-01-01";
"662";"Nieuwe Tonge";"2000-01-01";
"663";"Nieuwendam";"2000-01-01";
"664";"Nieuwenhagen";"2000-01-01";
"665";"Nieuwenhoorn";"2000-01-01";
"666";"Nieuwerkerk aan den Ijssel";"2000-01-01";
"667";"Nieuweschans";"2000-01-01";
"668";"Nieuw-Ginneken";"2000-01-01";
"669";"Nieuw-Helvoet";"2000-01-01";
"670";"Nieuwkoop";"2000-01-01";
"671";"Nieuwland Friesland";"2000-01-01";
"672";"Nieuwland Zuid-Holland";"2000-01-01";
"673";"Nieuw-Lekkerland";"2000-01-01";
"674";"Nieuwleusen";"2000-01-01";
"675";"Nieuwolda";"2000-01-01";
"676";"Nieuwpoort";"2000-01-01";
"677";"Nieuwstadt";"2000-01-01";
"678";"Nieuwveen";"2000-01-01";
"679";"Nieuw-Vossemeer";"2000-01-01";
"680";"Niftrik";"2000-01-01";
"681";"Nigtevecht";"2000-01-01";
"682";"Nijbroek";"2000-01-01";
"683";"Nijehaske";"2000-01-01";
"684";"Nijeveen";"2000-01-01";
"685";"Nijkerk Gelderland";"2000-01-01";
"686";"Nijkerk Friesland";"2000-01-01";
