"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"165","Kennisgeving, vordering, bevel of beschikking, Wet Bodembescherming (zie tekening)","2000-01-01",,"Aantekening PB"
"166","Kennisgeving, vordering, bevel of beschikking, Wet Bodembescherming (in onderzoek)","2000-01-01",,"Aantekening PB"
"170","Provinciaal monument","2000-01-01",,"Aantekening PB"
"171","Provinciaal monument (zie tekening)","2000-01-01",,"Aantekening PB"
"172","Provinciaal monument (in onderzoek)","2000-01-01",,"Aantekening PB"
"173","Besluit op basis van Monumentenwet 1988","2000-01-01",,"Aantekening PB"
"174","Besluit op basis van Monumentenwet 1988 (zie tekening)","2000-01-01",,"Aantekening PB"
"175","Besluit op basis van Monumentenwet 1988 (in onderzoek)","2000-01-01",,"Aantekening PB"
"176","Besluit op basis van natuurbeschermingswet 1998","2000-01-01","2017-01-31","Aantekening PB"
"177","Besluit op basis van natuurbeschermingswet 1998 (zie tekening)","2000-01-01","2017-01-31","Aantekening PB"
"178","Besluit op basis van natuurbeschermingswet 1998 (in onderzoek)","2000-01-01","2017-01-31","Aantekening PB"
"179","Handhavingsbesluit Wabo","2010-07-01",,"Aantekening PB"
"180","Handhavingsbesluit Wabo (zie tekening)","2010-07-01",,"Aantekening PB"
"181","Handhavingsbesluit Wabo (in onderzoek)","2010-07-01",,"Aantekening PB"
"184","Vorderingsbesluit Wabo","2010-07-01",,"Aantekening PB"
"185","Vorderingsbesluit Wabo (zie tekening)","2010-07-01",,"Aantekening PB"
"186","Vorderingsbesluit Wabo (in onderzoek)","2010-07-01",,"Aantekening PB"
"194","Voorkeursrecht gemeenten","2000-01-01","2010-01-01","Aantekening PB"
"196","Besluit op basis van Wet agrarisch grondverkeer","2000-01-01",,"Aantekening PB"
"197","Besluit op basis van Wet agrarisch grondverkeer (zie tekening)","2000-01-01",,"Aantekening PB"
"198","Besluit op basis van Wet agrarisch grondverkeer (in onderzoek)","2000-01-01",,"Aantekening PB"
"201","Besluit of bevel op basis van waterstaatswet 1900","2000-01-01","2018-09-01","Aantekening PB"
"203","Besluit of bevel op basis van waterstaatswet 1900 (in onderzoek)","2000-01-01","2018-09-01","Aantekening PB"
"204","Bevel of gedoogplicht, Waterwet","2009-12-22",,"Aantekening PB"
"205","Bevel of gedoogplicht, Waterwet (zie tekening)","2009-12-22",,"Aantekening PB"
"206","Bevel of gedoogplicht, Waterwet (in onderzoek)","2009-12-22",,"Aantekening PB"
"207","Besluit op basis van woningwet","2000-01-01",,"Aantekening PB"
"208","Besluit op basis van woningwet (zie tekening)","2000-01-01",,"Aantekening PB"
"209","Besluit op basis van woningwet (in onderzoek)","2000-01-01",,"Aantekening PB"
"270","Administratieve voorlopige (kadastrale) grens","2012-07-01","2018-09-01","Aantekening Object"
"271","Voorlopige kadastrale grens en oppervlakte","2012-07-01","2016-05-31","Aantekening Object"
"272","Besluit op grond van de Wet Milieubeheer","2012-07-01",,"Aantekening Object"
"273","Passeren ruilakte is aanstaande, neem contact op met het Klantcontactcenter","2014-02-01","2018-09-01","Aantekening Object"
"276","Beklemhuur","2000-01-01",,"Aantekening Object"
"281","De juistheid van de objektgegevens is in onderzoek","2000-01-01","2018-09-01","Aantekening Object"
"292","Beperking Beschikkingsbevoegdheid, vereffenaar benoemd","2015-03-01",,"Aantekening Tenaamstelling"
"293","Meettarief verschuldigd","2015-12-01","2018-09-01","Aantekening Object"
"294","Object betrokken bij 3D complexaanduiding","2016-03-20",,"Aantekening Object"
"295","3D weergave aanwezig","2016-03-20",,"Aantekening Tenaamstelling"
"296","Gedoogplicht archeologisch onderzoek, Erfgoedwet","2016-07-01",,"Aantekening PB"
"297","Gedoogplicht archeologisch onderzoek, Erfgoedwet (zie tekening)","2016-07-01",,"Aantekening PB"
"298","Gedoogplicht archeologisch onderzoek, Erfgoedwet (in onderzoek)","2016-07-01",,"Aantekening PB"
"299","Kwalitatieve verplichting op een gedeelte van een perceel","2016-05-01",,"Aantekening Object"
"300","Voorlopige kadastrale grens en grootte","2016-06-01","2018-09-01","Aantekening Object"
"307","Besluit op basis van artikel 9.9 Wet Natuurbescherming","2017-02-01",,"Aantekening PB"
"308","Besluit op basis van artikel 9.9 Wet Natuurbescherming (Zie tekening)","2017-02-01",,"Aantekening PB"
"309","Besluit op basis van artikel 9.9 Wet Natuurbescherming (in onderzoek)","2017-02-01",,"Aantekening PB"
"310","Besluit op basis van artikel 9.1 Wet Natuurbescherming","2017-02-01",,"Aantekening PB"
"311","Besluit op basis van artikel 9.1 Wet Natuurbescherming (Zie tekening)","2017-02-01",,"Aantekening PB"
"312","Besluit op basis van artikel 9.1 Wet Natuurbescherming (in onderzoek)","2017-02-01",,"Aantekening PB"
"313","Besluit op basis van artikel 2.1 Wet Natuurbescherming","2017-02-01",,"Aantekening PB"
"314","Besluit op basis van artikel 2.1 Wet Natuurbescherming (Zie tekening)","2017-02-01",,"Aantekening PB"
"315","Besluit op basis van artikel 2.1 Wet Natuurbescherming (in onderzoek)","2017-02-01",,"Aantekening PB"
"316","Besluit op basis van artikel 2.11 Wet Natuurbescherming","2017-02-01",,"Aantekening PB"
"317","Besluit op basis van artikel 2.11 Wet Natuurbescherming (Zie tekening)","2017-02-01",,"Aantekening PB"
"318","Besluit op basis van artikel 2.11 Wet Natuurbescherming (in onderzoek)","2017-02-01",,"Aantekening PB"
"319","Besluit op basis van artikel 4.2 Wet Natuurbescherming","2017-02-01",,"Aantekening PB"
"320","Besluit op basis van artikel 4.2 Wet Natuurbescherming (Zie tekening)","2017-02-01",,"Aantekening PB"
"321","Besluit op basis van artikel 4.2 Wet Natuurbescherming (in onderzoek)","2017-02-01",,"Aantekening PB"
"322","Opzegging beperkt recht","2018-07-15",,"Aantekening Tenaamstelling"
"323","Burgerlijke staat ongehuwd en geen geregistreerd partnerschap","2018-07-15",,"Aantekening Tenaamstelling"
"324","Wijziging voorwaarden beperkt recht","2018-07-15",,"Aantekening Tenaamstelling"
"325","Burgerlijke staat gehuwd","2018-07-15",,"Aantekening Tenaamstelling"
"326","Burgerlijke staat geregistreerd partnerschap","2018-07-15",,"Aantekening Tenaamstelling"
"327","Huwelijkse en partnerschapsvoorwaarden","2018-07-15",,"Aantekening Tenaamstelling"
"328","Inbreng in personenvennootschap","2018-07-15",,"Aantekening Tenaamstelling"
"329","Ontbinding van personenvennootschap","2018-07-15",,"Aantekening Tenaamstelling"
"330","Vaststellingsovereenkomst","2018-07-15",,"Aantekening Tenaamstelling"
"331","Uitoefening retentierecht","2018-07-15",,"Aantekening Object"
"332","Rangwisseling erfdienstbaarheid","2018-07-15",,"Aantekening Object"
"333","Testamentair bewind","2018-07-15",,"Aantekening Tenaamstelling"
"334","Bestuursoverdracht","2018-07-15",,"Aantekening Tenaamstelling"
"335","Gemeenschap ontbonden","2018-07-15",,"Aantekening Tenaamstelling"
"336","Beslag op recht op levering","2018-07-15",,"Aantekening Tenaamstelling"
"337","Gemeenschap van goederen","2018-07-15",,"Aantekening Tenaamstelling"
"338","Leidingnetwerk ambtshalve geregistreerd","2018-11-15",,"Aantekening Object"
"339","Belemmeringenwet Landsverdediging: Gedoogplicht","2020-01-01","2023-07-01","Aantekening PB"
"340","Belemmeringenwet Landsverdediging: Gedoogplicht (in onderzoek)","2020-01-01","2023-07-01","Aantekening PB"
"341","Belemmeringenwet Privaatrecht: Gedoogplicht","2020-01-01","2023-07-01","Aantekening PB"
"342","Belemmeringenwet Privaatrecht: Gedoogplicht (in onderzoek)","2020-01-01","2023-07-01","Aantekening PB"
"343","Belemmeringenwet Privaatrecht: Bevel verplaatsing werk","2020-01-01","2023-07-01","Aantekening PB"
"344","Belemmeringenwet Privaatrecht: Bevel verplaatsing werk (in onderzoek)","2020-01-01","2023-07-01","Aantekening PB"
"345","Erfgoedwet: Lasten en voorschriften uitvoering werk","2020-01-01",,"Aantekening PB"
"346","Erfgoedwet: Lasten en voorschriften uitvoering werk (in onderzoek)","2020-01-01",,"Aantekening PB"
"347","Erfgoedwet: Gedoogplicht archeologisch onderzoek door minister OCW","2020-01-01","2023-07-01","Aantekening PB"
"348","Erfgoedwet: Gedoogplicht archeologisch onderzoek door minister OCW (in onderzoek)","2020-01-01","2023-07-01","Aantekening PB"
"349","Erfgoedwet: Gedoogplicht archeologisch onderzoek door bestuursorgaan","2020-01-01","2023-07-01","Aantekening PB"
"350","Erfgoedwet: Gedoogplicht archeologisch onderzoek door bestuursorgaan (in onderzoek)","2020-01-01","2023-07-01","Aantekening PB"
"351","Erfgoedwet: Toezending van een ontwerpbesluit door minister OCW","2020-01-01",,"Aantekening PB"
"352","Erfgoedwet: Toezending van een ontwerpbesluit door minister OCW (in onderzoek)","2020-01-01",,"Aantekening PB"
"353","Erfgoedwet: Afschrift van een inschrijving door minister OCW","2020-01-01",,"Aantekening PB"
"354","Erfgoedwet: Afschrift van een inschrijving door minister OCW (in onderzoek)","2020-01-01",,"Aantekening PB"
"355","Besluit tot heffen van baatbelasting, Gemeentewet","2020-01-01",,"Aantekening PB"
"356","Besluit tot heffen van baatbelasting, Gemeentewet (in onderzoek)","2020-01-01",,"Aantekening PB"
"357","Besluit monument, Gemeentewet","2020-01-01",,"Aantekening PB"
"358","Besluit monument, Gemeentewet (in onderzoek)","2020-01-01",,"Aantekening PB"
"359","Gedoogplicht Ontgrondingenwet","2020-01-01",,"Aantekening PB"
"360","Gedoogplicht Ontgrondingenwet (in onderzoek)","2020-01-01",,"Aantekening PB"
"361","Sluiting van woning, lokaal of bijbehorend erf, Gemeentewet","2020-01-01",,"Aantekening PB"
"362","Sluiting van woning, lokaal of bijbehorend erf, Gemeentewet (in onderzoek)","2020-01-01",,"Aantekening PB"
"363","Besluit tot heffen van bouwgrondbelasting, Gemeentewet","2020-01-01",,"Aantekening PB"
