"Code";"Waarde";"DatumVanaf";"DatumTot";"Toelichting"
"135";"Beschermde leefomgeving Flora- en Faunawet";"2000-01-01";;"Aantekening PB"
"136";"Beschermde leefomgeving Flora- en Faunawet (zie tekening)";"2000-01-01";;"Aantekening PB"
"137";"Beschermde leefomgeving Flora- en Faunawet (in onderzoek)";"2000-01-01";;"Aantekening PB"
"138";"Besluit op basis van Belemmeringenwet Privaatrecht";"2000-01-01";;"Aantekening PB"
"139";"Besluit op basis van Belemmeringenwet Privaatrecht (zie tekening)";"2000-01-01";;"Aantekening PB"
"140";"Besluit op basis van Belemmeringenwet Privaatrecht (in onderzoek)";"2000-01-01";;"Aantekening PB"
"141";"Kapverbod op basis van de Boswet";"2000-01-01";;"Aantekening PB"
"142";"Kapverbod op basis van de Boswet (zie tekening)";"2000-01-01";;"Aantekening PB"
"143";"Kapverbod op basis van de Boswet (in onderzoek)";"2000-01-01";;"Aantekening PB"
"144";"Besluit op basis van Belemmeringenwet Landsverdediging";"2000-01-01";;"Aantekening PB"
"145";"Besluit op basis van Belemmeringenwet Landsverdediging (zie tekening)";"2000-01-01";;"Aantekening PB"
"146";"Besluit op basis van Belemmeringenwet Landsverdediging (in onderzoek)";"2000-01-01";;"Aantekening PB"
"147";"Verplichting tot bijdragen in het onderhoud, zie Waterstaatswet 1900";"2000-01-01";"2010-01-01";"Aantekening PB"
"148";"Exploitatieplan, Wet ruimtelijke ordening";"2011-03-10";;"Aantekening PB"
"149";"Exploitatieplan, Wet ruimtelijke ordening (Zie tekening)";"2011-03-10";;"Aantekening PB"
"150";"Exploitatieplan, Wet ruimtelijke ordening (in onderzoek)";"2011-03-10";;"Aantekening PB"
"151";"Gedoogverplichting Wet geluidhinder";"2000-01-01";"2010-01-01";"Aantekening PB"
"152";"Gedoogverplichting Wet geluidhinder gedeeltelijk";"2000-01-01";"2010-01-01";"Aantekening PB"
"153";"Gedoogplicht Wet inzake de luchtverontreiniging";"2000-01-01";;"Aantekening PB"
"154";"Gedoogplicht Wet inzake de luchtverontreiniging (zie tekening)";"2000-01-01";;"Aantekening PB"
"155";"Gedoogplicht Wet inzake de luchtverontreiniging (in onderzoek)";"2000-01-01";;"Aantekening PB"
"156";"Gemeentelijk monument; inlichtingen bij de Gemeente";"2000-01-01";"2010-01-01";"Aantekening PB"
"157";"Gemeentelijk monument gedeeltelijk; inlichtingen bij de Gemeente";"2000-01-01";"2010-01-01";"Aantekening PB"
"158";"Gedoogplicht Ontgrondingenwet";"2000-01-01";;"Aantekening PB"
"159";"Gedoogplicht Ontgrondingenwet (zie tekening)";"2000-01-01";;"Aantekening PB"
"160";"Gedoogplicht Ontgrondingenwet (in onderzoek)";"2000-01-01";;"Aantekening PB"
"161";"Gedoogplicht ex. art.31 of 32 Grondwaterwet";"2000-01-01";"2010-01-01";"Aantekening PB"
"162";"Gedoogplicht ex. Art 10, lid 2, 12 of 12a Waterstaatswet 1900";"2000-01-01";"2010-01-01";"Aantekening PB"
"163";"Kapverbod ex. art.13 Boswet";"2000-01-01";"2010-01-01";"Aantekening PB"
"164";"Kennisgeving, vordering, bevel of beschikking, Wet Bodembescherming";"2000-01-01";;"Aantekening PB"
"165";"Kennisgeving, vordering, bevel of beschikking, Wet Bodembescherming (zie tekening)";"2000-01-01";;"Aantekening PB"
"166";"Kennisgeving, vordering, bevel of beschikking, Wet Bodembescherming (in onderzoek)";"2000-01-01";;"Aantekening PB"
"167";"Verbod op basis van de Luchtvaartwet";"2000-01-01";;"Aantekening PB"
"168";"Verbod op basis van de Luchtvaartwet (zie tekening)";"2000-01-01";;"Aantekening PB"
"169";"Verbod op basis van de Luchtvaartwet (in onderzoek)";"2000-01-01";;"Aantekening PB"
"170";"Provinciaal monument";"2000-01-01";;"Aantekening PB"
"171";"Provinciaal monument (zie tekening)";"2000-01-01";;"Aantekening PB"
"172";"Provinciaal monument (in onderzoek)";"2000-01-01";;"Aantekening PB"
"173";"Besluit op basis van Monumentenwet 1988";"2000-01-01";;"Aantekening PB"
"174";"Besluit op basis van Monumentenwet 1988 (zie tekening)";"2000-01-01";;"Aantekening PB"
"175";"Besluit op basis van Monumentenwet 1988 (in onderzoek)";"2000-01-01";;"Aantekening PB"
"176";"Besluit op basis van natuurbeschermingswet 1998";"2000-01-01";;"Aantekening PB"
"177";"Besluit op basis van natuurbeschermingswet 1998 (zie tekening)";"2000-01-01";;"Aantekening PB"
"178";"Besluit op basis van natuurbeschermingswet 1998 (in onderzoek)";"2000-01-01";;"Aantekening PB"
