"Code","Waarde","DatumVanaf","DatumTot","SAP Artikel","SAP Artikelnaam","Register"
"524","cessie","2017-10-01",,"BRK0016","OZ3 Wijziging registratie","Hyp3"
"527","erfpachtscanon (wijziging)","2017-10-01",,"BRK0008","OZ4 Aantekening/wijziging registratie","Hyp4"
"529","fusie","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"529","fusie","2017-10-01",,"BRK0020","OZ3 Wijziging rechthebbende","Hyp3"
"530","gekozen woonplaats (wijziging)","2017-10-01",,"BRK0008","OZ4 Aantekening/wijziging registratie","Hyp4"
"530","gekozen woonplaats (wijziging)","2017-10-01",,"BRK0018","OZ3 Aantekening/wijziging registratie","Hyp3"
"531","gemeentelijke herindeling","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"532","aanvullende akte","2017-10-01",,"BRK0008","OZ4 Aantekening/wijziging registratie","Hyp4"
"532","aanvullende akte","2017-10-01",,"BRK0018","OZ3 Aantekening/wijziging registratie","Hyp3"
"533","herverkaveling (wettelijk)","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"534","huurkoop","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"535","huurkoop (overeenkomst)","2017-10-01",,"BRK0008","OZ4 Aantekening/wijziging registratie","Hyp4"
"536","huwelijkse voorwaarden","2017-10-01",,"BRK0001","OZ4 Inschrijving kosteloos","Hyp4"
"536","huwelijkse voorwaarden","2017-10-01",,"BRK0002","OZ3 Inschrijving kosteloos","Hyp3"
"537","hypotheek","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"537","hypotheek","2017-10-01",,"BRK0013","OZ3 Hypotheek","Hyp3"
"538","hypotheek (doorhaling)","2017-10-01",,"BRK0022","OZ4 Doorhaling","Hyp4"
"538","hypotheek (doorhaling)","2017-10-01",,"BRK0023","OZ3 Doorhaling hypotheek","Hyp3"
"539","hypotheek (wijziging)","2017-10-01",,"BRK0015","OZ3 Doorhaling","Hyp3"
"540","kavelruil","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"541","kavelruil overeenkomst","2017-10-01",,"BRK0008","OZ4 Aantekening/wijziging registratie","Hyp4"
"542","kavelruil overeenkomst (beëindiging)","2017-10-01",,"BRK0008","OZ4 Aantekening/wijziging registratie","Hyp4"
"543","koopovereenkomst (beëindiging)","2017-10-01",,"BRK0008","OZ4 Aantekening/wijziging registratie","Hyp4"
"545","stuk betreffende kwalitatieve verplichting","2017-10-01",,"BRK0008","OZ4 Aantekening/wijziging registratie","Hyp4"
"546","mandeligheid (beëindiging)","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"547","mandeligheid (ontstaan)","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"553","overdracht naar aanleiding van ontbinding rechtspersoon","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"553","overdracht naar aanleiding van ontbinding rechtspersoon","2017-10-01",,"BRK0020","OZ3 Wijziging rechthebbende","Hyp3"
"554","onteigening","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"556","overdracht (eigendom en/of beperkt recht) onder voorbehoud zakelijk recht","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"560","rangwisseling","2017-10-01",,"BRK0008","OZ4 Aantekening/wijziging registratie","Hyp4"
"560","rangwisseling","2017-10-01",,"BRK0018","OZ3 Aantekening/wijziging registratie","Hyp3"
"561","rechterlijke uitspraak","2017-10-01",,"BRK0008","OZ4 Aantekening/wijziging registratie","Hyp4"
"561","rechterlijke uitspraak","2017-10-01",,"BRK0018","OZ3 Aantekening/wijziging registratie","Hyp3"
"562","instelling rechtsmiddel","2017-10-01",,"BRK0008","OZ4 Aantekening/wijziging registratie","Hyp4"
"562","instelling rechtsmiddel","2017-10-01",,"BRK0018","OZ3 Aantekening/wijziging registratie","Hyp3"
"563","instelling rechtsvordering","2017-10-01",,"BRK0008","OZ4 Aantekening/wijziging registratie","Hyp4"
"563","instelling rechtsvordering","2017-10-01",,"BRK0018","OZ3 Aantekening/wijziging registratie","Hyp3"
"564","verbetering","2017-10-01",,"BRK0008","OZ4 Aantekening/wijziging registratie","Hyp4"
"564","verbetering","2017-10-01",,"BRK0018","OZ3 Aantekening/wijziging registratie","Hyp3"
"565","inbreng in of ontbinding van personenvennootschap","2017-10-01",,"BRK0006","OZ4 Wijziging registratie","Hyp4"
"566","registratie eigendom netwerk","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"567","registratie eigendom netwerk (beëindiging)","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"568","registreren oud vaderlands recht","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"569","reglement mede-eigenaren","2017-10-01",,"BRK0008","OZ4 Aantekening/wijziging registratie","Hyp4"
"572","stuk betreffende erfdienstbaarheden","2017-10-01",,"BRK0008","OZ4 Aantekening/wijziging registratie","Hyp4"
"573","subrogatie","2017-10-01",,"BRK0018","OZ3 Aantekening/wijziging registratie","Hyp3"
"578","uittreksel boedelregister (wijze van aanvaarding/ verwerping)","2017-10-01",,"BRK0008","OZ4 Aantekening/wijziging registratie","Hyp4"
"578","uittreksel boedelregister (wijze van aanvaarding/ verwerping)","2017-10-01",,"BRK0018","OZ3 Aantekening/wijziging registratie","Hyp3"
"579","verdeling van gemeenschap (erfgenamen)","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"579","verdeling van gemeenschap (erfgenamen)","2017-10-01",,"BRK0020","OZ3 Wijziging rechthebbende","Hyp3"
"580","verdeling van gemeenschap (gezamenlijke rechthebbenden)","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"580","verdeling van gemeenschap (gezamenlijke rechthebbenden)","2017-10-01",,"BRK0020","OZ3 Wijziging rechthebbende","Hyp3"
"581","verdeling van gemeenschap (huwelijk / geregistreerd partnerschap)","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"581","verdeling van gemeenschap (huwelijk / geregistreerd partnerschap)","2017-10-01",,"BRK0020","OZ3 Wijziging rechthebbende","Hyp3"
"583","openbare verkoop (onvrijwillig)","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"585","verklaring van erfrecht","2017-10-01",,"BRK0001","OZ4 Inschrijving kosteloos","Hyp4"
"585","verklaring van erfrecht","2017-10-01",,"BRK0002","OZ3 Inschrijving kosteloos","Hyp3"
"587","vernieuwing","2017-10-01",,"BRK0001","OZ4 Inschrijving kosteloos","Hyp4"
"587","vernieuwing","2017-10-01",,"BRK0002","OZ3 Inschrijving kosteloos","Hyp3"
"588","vaststellingsovereenkomst","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"591","waardeloosheid (verklaring van)","2017-10-01",,"BRK0022","OZ4 Doorhaling","Hyp4"
"591","waardeloosheid (verklaring van)","2017-10-01",,"BRK0015","OZ3 Doorhaling","Hyp3"
"593","overig bij object aan te tekenen stuk (ontstaan)","2017-10-01",,"BRK0008","OZ4 Aantekening/wijziging registratie","Hyp4"
"595","beperking beschikkingsbevoegdheid opheffen","2017-10-01",,"BRK0001","OZ4 Inschrijving kosteloos","Hyp4"
"595","beperking beschikkingsbevoegdheid opheffen","2017-10-01",,"BRK0002","OZ3 Inschrijving kosteloos","Hyp3"
"596","dwaling omtrent grensaanwijs","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"597","omzetting rechtspersoon","2017-10-01",,"BRK0008","OZ4 Aantekening/wijziging registratie","Hyp4"
"598","splitsen rechtspersoon","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"598","splitsen rechtspersoon","2017-10-01",,"BRK0020","OZ3 Wijziging rechthebbende","Hyp3"
"601","appartementsrechtsplitsing (wijzigen reglement / voorwaarden)","2017-10-01",,"BRK0008","OZ4 Aantekening/wijziging registratie","Hyp4"
"604","mandeligheid (wijziging)","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"606","overdracht (eigendom en/of beperkt recht)","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
