"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"OGJ","Ow Gedoogplicht - Onderzoek in verband met waterstaatswerk (waterbeheerder)","2023-07-01",,"(artikel 10.17, tweede lid) door de beheerder opgelegde gedoogplicht voor het op of in gronden verrichten van onderzoek en daarmee verband houdende activiteiten in verband met een waterstaatswerk of voor de aanleg of wijziging daarvan en de daarmee verband houdende activiteiten."
"OGK","Ow Gedoogplicht - Meting luchtverontreiniging (minister I&W)","2023-07-01",,"(artikel 10.18) door de Minister van Infrastructuur en Waterstaat opgelegde gedoogplicht als voor het bepalen van de mate van luchtverontreiniging gebruik moet worden gemaakt van onroerende zaken."
"OGL","Ow Gedoogplicht - Archeologisch onderzoek (minister OCW)","2023-07-01",,"(artikel 10.19, eerste lid) door de Minister van Onderwijs, Cultuur en Wetenschap opgelegde gedoogplicht voor het betreden van terreinen, het daarop verrichten van metingen of het daarin doen van opgravingen."
"OGM","Ow Gedoogplicht - Archeologisch onderzoek (bestuursorgaan)","2023-07-01",,"(artikel 10.19, tweede lid) door een bestuursorgaan ter voorbereiding of uitvoering van een omgevingsplan of een omgevingsvergunning voor een omgevingsplanactiviteit opgelegde gedoogplicht als bedoeld in artikel 10.19, eerste lid."
"OGN","Ow Gedoogplicht - Uitoefening defensietaken (minister Defensie)","2023-07-01",,"(artikel 10.19a) door de Minister van Defensie opgelegde gedoogplicht voor het tot stand brengen of opruimen van werken voor de uitoefening van defensietaken."
"OGO","Ow Gedoogplicht - Andere werken van algemeen belang (minister I&W)","2023-07-01",,"(artikel 10.21) door de Minister van Infrastructuur en Waterstaat of de Minister van Infrastructuur en Waterstaat in overeenstemming met de Minister die het aangaat opgelegde gedoogplicht voor het tot stand brengen of opruimen van een werk van algemeen belang dat geen werk of activiteit als bedoeld in de artikelen 10.13 tot en met 10.19a is."
"OGP","Ow Gedoogplicht - Verrichten onderzoek of treffen maatregelen (B&W)","2023-07-01",,"(artikel 10.21a) door het college van burgemeester en wethouders in verband met het voorkomen, beperken of ongedaan maken van een verontreiniging of aantasting van de bodem opgelegde gedoogplicht voor het verrichten van onderzoek of het treffen van maatregelen."
"OHA","Ow Handhaving en uitvoering - Bestuurlijke herstelsanctie ook geldend voor rechtsopvolgers","2023-07-01",,"(artikelen 18.2 en 18.3 in samenhang met artikel 18.4a) besluit tot het opleggen van een last onder bestuursdwang of een last onder dwangsom gericht op naleving van een bij of krachtens de Omgevingswet gestelde regel, voor zover bij dat besluit met toepassing van artikel 18.4a van die wet is bepaald dat het besluit ook geldt voor de rechtsopvolgers van degene aan wie de last wordt opgelegd."
"OHB","Ow Handhaving en uitvoering - Handhavingsbesluit ook geldend voor rechtsopvolgers","2023-07-01",,"(artikel 92, derde lid, in samenhang met hoofdstuk III van de Woningwet en artikel 18.4a van de Omgevingswet) besluit van het college van burgemeester en wethouders tot het opleggen van een last onder bestuursdwang of een last onder dwangsom gericht op naleving van het bepaalde bij of krachtens hoofdstuk III van de Woningwet, voor zover bij dat besluit met toepassing van artikel 18.4a, eerste zin, van de Omgevingswet is bepaald dat het besluit ook geldt voor de rechtsopvolgers van degene aan wie de last wordt opgelegd."
"OLA","Ow Algemene regels fysieke leefomgeving - Maatwerkvoorschrift verbod vellen houtopstand","2023-07-01",,"(artikel 4.5 in samenhang met artikel 11.128 van het Besluit activiteiten leefomgeving) door het bevoegd gezag gesteld maatwerkvoorschrift tot het opleggen van een verbod om een houtopstand te vellen."
"OLB","Ow Algemene regels fysieke leefomgeving - Maatwerkvoorschrift plicht treffen voorzieningen bouwwerk","2023-07-01",,"(artikel 4.5 in samenhang met artikel 3.7, tweede lid, van het Besluit bouwwerken leefomgeving) door het bevoegd gezag gesteld maatwerkvoorschrift tot het opleggen van een plicht tot het treffen van voorzieningen aan een bestaand bouwwerk tot op ten hoogste nieuwbouwniveau."
"OLC","Ow Algemene regels fysieke leefomgeving - Maatwerkvoorschrift plicht tot het treffen van maatregelen bij archeologische toevalsvondst van algemeen belang","2023-07-01",,"(artikel 4.5 in samenhang met een algemene regel als bedoeld in paragraaf 4.1.1) door het bevoegd gezag in verband met een archeologische toevalsvondst van algemeen belang gesteld maatwerkvoorschrift tot het opleggen van een daarbij omschreven plicht."
"OLD","Ow Algemene regels fysieke leefomgeving - Maatwerkvoorschrift gebruiksbeperkingen of nazorgmaatregelen na sanering","2023-07-01",,"(artikel 4.5 in samenhang met in het omgevingsplan gestelde regels) door het bevoegd gezag op grond van het omgevingsplan gesteld maatwerkvoorschrift tot het opleggen van een plicht gebruiksbeperkingen in acht te nemen of nazorgmaatregelen te treffen na het saneren van de bodem."
"OLE","Ow Algemene regels fysieke leefomgeving - Maatwerkvoorschrift plicht voorzieningen uiterlijk bouwwerk","2023-07-01",,"(artikel 4.5 in samenhang met in het omgevingsplan gestelde regels) door het bevoegd gezag op grond van het omgevingsplan gesteld maatwerkvoorschrift tot het opleggen van een plicht tot het treffen van voorzieningen aan een bouwwerk om dat in overeenstemming te brengen met regels in het omgevingsplan over het uiterlijk van bouwwerken."
"OLF","Ow Algemene regels fysieke leefomgeving - Maatwerkvoorschrift bij wijziging van een gebruiksfunctie van een (gedeelte van een) bouwwerk (waarde max. 38 dB)","2023-07-01",,"(artikel 4.5, eerste lid, in samenhang met artikel 5.23a, aanhef en onder b, van het Besluit bouwwerken leefomgeving) door het bevoegd gezag gesteld maatwerkvoorschrift bij wijziging van een gebruiksfunctie van een bouwwerk of een gedeelte daarvan inhoudende dat de waarde, bedoeld in artikel 5.23, eerste lid, van het Besluit bouwwerken leefomgeving, wordt versoepeld tot ten hoogste 38 dB."
"OTA","Ow Taken bevoegdheden bestuursorganen - Aanwijzing Natura 2000 gebied (minister LNV)","2023-07-01",,"(artikel 2.44, eerste lid) door de Minister van Landbouw, Natuur en Voedselkwaliteit als Natura 2000-gebied aangewezen gebied."
"OTB","Ow Taken bevoegdheden bestuursorganen - Aanwijzing Bijzonder natuurgebied (minister LNV)","2023-07-01",,"(artikel 2.44, tweede lid) door de Minister van Landbouw, Natuur en Voedselkwaliteit als bijzonder nationaal natuurgebied aangewezen gebied."
"OTE","Ow Taken bevoegdheden bestuursorganen - Besluit geen of minder geluidwerende maatregelen","2023-07-01",,"(artikel 2.43, eerste lid, in samenhang met artikel 3.53, derde en vierde lid, onder a tot en met c, van het Besluit kwaliteit leefomgeving) besluit van het bevoegd gezag om geen of minder geluidwerende maatregelen aan een geluidgevoelig gebouw te treffen."
"OTF","Ow Taken bevoegdheden bestuursorganen - Besluit wijzigen naar geen geluidwerende maatregelen","2023-07-01",,"(artikel 2.43, eerste lid, in samenhang met artikel 3.54 van het Besluit kwaliteit leefomgeving) besluit van het bevoegd gezag om een besluit tot het treffen van geluidwerende maatregelen aan een geluidgevoelig gebouw te wijzigen in een besluit om geen geluidwerende maatregelen aan dat gebouw te treffen."
"OVB","Ow Omgevingsvergunning en projectbesluit - Opleggen plicht gebruiksbeperkingen of nazorgmaatregelen","2023-07-01",,"(artikel 5.34) door het bevoegd gezag aan een omgevingsvergunning verbonden voorschrift tot het opleggen van een plicht gebruiksbeperkingen in acht te nemen of nazorgmaatregelen te treffen na het saneren van de bodem."
"OVC","Ow Omgevingsvergunning en projectbesluit - Gewijzigde voorschriften omgevingsvergunning in verband met een archeologische toevalsvondst van algemeen belang","2023-07-01",,"(artikel 5.40, eerste lid, aanhef en onder a) door het bevoegd gezag in verband met een archeologische toevalsvondst van algemeen belang gewijzigde voorschriften van een omgevingsvergunning."
